Matthäus 1:1	Stammbaum Jesu Christi, des Sohnes Davids, des Sohnes Abrahams:
Apostelgeschichte 19:34	als man aber merkte (oder: erfuhr), daß er ein Jude sei, erscholl von allen wie aus einem Munde etwa zwei Stunden lang der Ruf: „Groß ist die Artemis von Ephesus!”
Apostelgeschichte 19:35	Endlich brachte der Stadtschreiber die Menge zur Ruhe und sagte: „Ihr Männer von Ephesus! wo gibt es wohl in der ganzen Welt einen Menschen, der nicht wüßte, daß die Stadt Ephesus die Tempelhüterin der großen Artemis und ihres vom Himmel herabgefallenen Bildes ist?
Apostelgeschichte 19:36	Da dies also eine unbestreitbare Tatsache ist, solltet ihr euch ja ruhig verhalten und nichts Übereiltes tun.
Apostelgeschichte 19:37	Ihr habt ja doch diese Männer hierher gebracht, die weder Tempelräuber sind noch unsere Göttin lästern.
Apostelgeschichte 19:38	Wenn nun Demetrius und die Zunft der Kunsthandwerker mit ihm Grund zu einer Klage gegen jemand haben, nun, so werden ja Gerichtstage abgehalten, und es gibt Statthalter; dort mögen sie ihre Sache miteinander abmachen!
Apostelgeschichte 19:39	Habt ihr aber außerdem noch Wünsche (oder: Anliegen), so wird das in der ordentlichen Volksversammlung erledigt werden.
Apostelgeschichte 19:40	Droht uns doch wegen der heutigen Vorkommnisse sogar eine Anklage wegen Aufruhrs, weil kein Grund vorliegt, mit dem wir diesen Aufruhr rechtfertigen könnten.”
Apostelgeschichte 19:41	Durch diese Worte brachte er die Versammlung zum Auseinandergehen.
Apostelgeschichte 20:1	Als sich nun die Unruhe gelegt hatte, ließ Paulus die Jünger (= Brüder) zu sich kommen, hielt eine ermahnende Ansprache an sie, nahm dann Abschied von ihnen und trat die Reise nach Mazedonien an.
Apostelgeschichte 20:2	Nachdem er diese Gegenden durchzogen und (den dortigen Gläubigen) reichen Zuspruch gespendet hatte, begab er sich nach Griechenland.
Apostelgeschichte 20:3	Als er sich dann nach einem Aufenthalt von drei Monaten nach Syrien einschiffen wollte und die Juden einen Anschlag gegen ihn planten, entschloß er sich zur Rückkehr durch Mazedonien.
Apostelgeschichte 20:4	Auf der Reise begleiteten ihn (bis nach Kleinasien): Sopater, der Sohn des Pyrrhus aus Beröa, ferner von den Thessalonikern Aristarchus und Sekundus, weiter aus Derbe Gajus und Timotheus; außerdem aus der Provinz Asien Tychikus und Trophimus.
Apostelgeschichte 20:5	Diese (letzten beiden) jedoch reisten uns voraus (= kamen erst später hinzu) und erwarteten uns in Troas;
Apostelgeschichte 20:6	wir selbst dagegen fuhren nach den Tagen der ungesäuerten Brote zu Schiff von Philippi ab und kamen fünf Tage später zu ihnen nach Troas, wo wir sieben Tage blieben.
Apostelgeschichte 20:7	¶ Als wir uns nun am ersten Tage nach dem Sabbat (oder: am ersten Tage der Woche) versammelt hatten, um das Brot zu brechen, besprach sich Paulus mit ihnen, weil er am folgenden Tage abreisen wollte, und dehnte die Unterredung bis Mitternacht aus.
Apostelgeschichte 20:8	Zahlreiche Lampen brannten in dem Obergemach, in dem wir versammelt waren.
Apostelgeschichte 20:9	Da wurde ein Jüngling namens Eutychus, der im (offenen) Fenster (= auf der Fensterbank) saß, von tiefem Schlaf überwältigt, weil Paulus so lange fortredete; er stürzte dann im Schlaf vom dritten Stockwerk hinab und wurde tot aufgehoben.
Apostelgeschichte 20:10	Paulus aber ging hinunter, warf sich über ihn, schlang die Arme um ihn und sagte: „Beunruhigt euch nicht! seine Seele (= das Leben) ist (wieder) in ihm.”
Apostelgeschichte 20:11	Als er dann wieder hinaufgegangen war und das Brot gebrochen hatte, nahm er einen Imbiß und unterredete sich noch lange weiter mit ihnen, bis der Tag anbrach; dann erst machte er sich auf den Weg.
Apostelgeschichte 20:12	Den Knaben (= Jüngling) aber hatte man lebend weggetragen, wodurch alle sich nicht wenig getröstet fühlten.
Apostelgeschichte 20:13	¶ Wir (anderen) waren unterdessen auf das Schiff vorausgegangen und fuhren auf Assos zu in der Absicht, dort Paulus an Bord zu nehmen; denn so hatte er es angeordnet, weil er selbst den Weg dorthin zu Fuß machen wollte.
Apostelgeschichte 20:14	Als er dann in Assos mit uns wieder zusammengetroffen war, nahmen wir ihn an Bord und gelangten nach Mitylene.
Apostelgeschichte 20:15	Von dort fuhren wir weiter und kamen am folgenden Tage auf die Höhe von Chios; Tags darauf legten wir in Samos an und gelangten [nach einem Aufenthalt in Trogyllion] am nächsten Tage nach Milet.
Apostelgeschichte 20:16	Paulus hatte sich nämlich entschlossen, an Ephesus vorüberzufahren, um keine Zeit mehr in der Provinz Asien zu verlieren; denn er beeilte sich, um womöglich am Tage des Pfingstfestes in Jerusalem zu sein.
Apostelgeschichte 20:17	¶ Von Milet aus aber sandte er Botschaft nach Ephesus und ließ die Ältesten der Gemeinde zu sich rufen.
Apostelgeschichte 20:18	Als sie sich bei ihm eingefunden hatten, richtete er folgende Ansprache an sie: „Ihr wißt selbst, wie ich mich vom ersten Tage ab, an dem ich die Provinz Asien betreten hatte, die ganze Zeit hindurch bei euch verhalten
Apostelgeschichte 20:19	und dem Herrn gedient habe mit aller Demut und unter Tränen und Anfechtungen, die mir aus den Nachstellungen der Juden erwuchsen,
Apostelgeschichte 20:20	wie ich durchaus nichts verabsäumt habe, um euch alles, was euch heilsam sein konnte, öffentlich und in den Häusern zu verkündigen und zu lehren,
Apostelgeschichte 20:21	indem ich es sowohl Juden als auch Griechen ans Herz legte, sich zu Gott zu bekehren und an unsern Herrn Jesus Christus zu glauben.
Apostelgeschichte 20:22	Und jetzt, seht: im Geist gebunden*), reise ich nach Jerusalem, ohne zu wissen, was mir dort widerfahren wird;
Apostelgeschichte 20:23	nur das bezeugt mir der heilige Geist in jeder Stadt mit Bestimmtheit, daß Gefangenschaft und Leiden auf mich warten.
Apostelgeschichte 20:24	Doch ich sehe das Leben als für mich selbst völlig wertlos an, wenn ich nur meinen Lauf [mit Freuden] vollende und den Dienst (zum Abschluß bringe), den ich vom Herrn Jesus empfangen habe, nämlich Zeugnis für die Heilsbotschaft von der Gnade Gottes abzulegen.
Apostelgeschichte 20:25	Und jetzt, seht: ich weiß, daß ihr mein Angesicht nicht wiedersehen werdet, ihr alle, unter denen ich mich als Prediger des Reiches (Gottes) bewegt habe.
Apostelgeschichte 20:26	Darum gebe ich euch am heutigen Tage die feste Versicherung, daß ich den Tod niemandes auf dem Gewissen habe;
Apostelgeschichte 20:27	denn ich habe es an mir nicht fehlen lassen, euch den ganzen Ratschluß (oder: Heilsplan) Gottes zu verkündigen.
Apostelgeschichte 20:28	So gebt denn acht auf euch selbst und auf die ganze Herde, bei welcher der heilige Geist euch zu Aufsehern (= Vorstehern) bestellt hat, damit ihr die Gemeinde des Herrn weidet, die er sich durch sein eigenes Blut erworben hat.
Apostelgeschichte 20:29	Ich weiß, daß nach meinem Weggang schlimme (= verderbliche, reißende) Wölfe bei euch einbrechen und die Herde nicht verschonen werden;
Apostelgeschichte 20:30	ja aus eurer eigenen Mitte werden Männer auftreten und Irrlehren vortragen, um die Jünger in ihre Gefolgschaft zu ziehen.
Apostelgeschichte 20:31	Darum seid wachsam und bleibt dessen eingedenk, daß ich drei Jahre hindurch Tag und Nacht nicht aufgehört habe, jeden einzelnen (von euch) unter Tränen zu ermahnen.
Apostelgeschichte 20:32	Und nunmehr befehle ich euch Gott und dem Wort seiner Gnade, das die Kraft besitzt, aufzubauen und das Erbe zu verleihen unter allen, die sich haben heiligen lassen**).
Apostelgeschichte 20:33	Silber, Gold und Kleidung habe ich von niemand begehrt;
Apostelgeschichte 20:34	ihr wißt selbst, daß für meinen Lebensunterhalt und auch für meine Begleiter (oder: Gefährten) diese (meine) Hände gesorgt haben.
Apostelgeschichte 20:35	Immer und überall habe ich euch gezeigt, daß man in solcher Weise arbeiten und sich der Schwachen annehmen und dabei der Worte des Herrn Jesus eingedenk sein muß; denn er hat selbst gesagt: ‘Geben ist seliger als Nehmen.’***)”
Apostelgeschichte 20:36	¶ Nach diesen Worten kniete er mit ihnen allen nieder und betete.
Apostelgeschichte 20:37	Da brachen alle in lautes Wehklagen aus, fielen dem Paulus um den Hals und küßten ihn;
Apostelgeschichte 20:38	am schmerzlichsten war für sie das Wort, das er ausgesprochen hatte, sie würden sein Angesicht nicht wiedersehen. Sie gaben ihm darauf das Geleit bis zum Schiff.
Apostelgeschichte 21:1	Als wir uns dann von ihnen losgerissen hatten und wieder in See gegangen waren, kamen wir in gerader Fahrt nach Kos, am nächsten Tage nach Rhodus und von dort nach Patara.
Apostelgeschichte 21:2	Als wir dort ein Schiff fanden, das nach Phönizien bestimmt war, stiegen wir ein und fuhren ab.
Apostelgeschichte 21:3	Wir bekamen Cypern in Sicht, das wir aber zur Linken liegen ließen, steuerten auf Syrien zu und legten in Tyrus an; denn dort hatte das Schiff seine Ladung zu löschen.
Apostelgeschichte 21:4	Wir suchten nun die Jünger auf und blieben sieben Tage dort; jene warnten den Paulus auf Eingebung des Geistes wiederholt vor der Reise nach Jerusalem.
Apostelgeschichte 21:5	Als wir aber die Tage dort verlebt hatten, machten wir uns zur Weiterfahrt auf den Weg, wobei alle (Brüder) samt Frauen und Kindern uns das Geleit bis vor die Stadt hinaus gaben. Am Strande knieten wir nieder und beteten;
Apostelgeschichte 21:6	dann nahmen wir Abschied voneinander und gingen an Bord, während jene wieder heimkehrten.
Apostelgeschichte 21:7	¶ Wir aber legten den letzten Teil unserer Fahrt zurück, indem wir von Tyrus nach Ptolemais segelten; wir begrüßten auch hier die Brüder, blieben aber nur einen Tag bei ihnen.
Apostelgeschichte 21:8	Am nächsten Morgen zogen wir weiter und kamen nach Cäsarea, wo wir bei dem Evangelisten Philippus, einem der sieben (Armenpfleger. vgl. 6 5; 8,5—40), einkehrten und bei ihm blieben.
Apostelgeschichte 21:9	Dieser hatte vier unverheiratete Töchter, welche Prophetengabe besaßen.
Apostelgeschichte 21:10	Während unseres mehrtägigen Aufenthalts (in Cäsarea) kam ein Prophet namens Agabus aus Judäa herab
Apostelgeschichte 21:11	und besuchte uns, er nahm den Gürtel des Paulus, band sich Hände und Füße damit und sagte dann: „So spricht der heilige Geist: ‘Den Mann, dem dieser Gürtel gehört, werden die Juden in Jerusalem in dieser Weise binden und ihn den Heiden in die Hände liefern.’”
Apostelgeschichte 21:12	Als wir das hörten, baten wir und die Einheimischen den Paulus inständig, er möchte nicht nach Jerusalem hinaufgehen.
Apostelgeschichte 21:13	Da antwortete Paulus: „Was weint ihr so und macht mir das Herz schwer? Ich bin ja bereit, mich in Jerusalem nicht nur binden zu lassen, sondern auch den Tod für den Namen des Herrn Jesus zu erleiden!”
Apostelgeschichte 21:14	Weil er sich nun nicht umstimmen ließ, beruhigten wir uns (oder: hörten wir mit unseren Vorstellungen auf) und sagten: „Des Herrn Wille geschehe!”
Apostelgeschichte 21:15	¶ Nach Ablauf dieser Tage machten wir uns reisefertig und zogen nach Jerusalem hinauf.
Apostelgeschichte 21:16	Dabei begleiteten uns auch einige Jünger (= Brüder) aus Cäsarea und brachten uns zu einem gewissen Mnason aus Cypern, einem alten Jünger, bei dem wir als Gäste wohnen sollten.
Apostelgeschichte 21:17	Nach unserer Ankunft in Jerusalem nahmen uns die Brüder mit Freuden auf.
Apostelgeschichte 21:18	Gleich am folgenden Tage ging Paulus mit uns zu Jakobus, und auch alle Ältesten fanden sich dort ein.
Apostelgeschichte 21:19	Nachdem Paulus sie begrüßt hatte, erzählte er ihnen alles im einzelnen, was Gott unter den Heiden durch seine Arbeit vollbracht hatte.
Apostelgeschichte 21:20	¶ Als sie das gehört hatten, priesen sie Gott, sagten aber zu ihm: „Du siehst, lieber Bruder, wie viele Tausende es unter den Juden gibt, die gläubig geworden sind; doch alle sind sie eifrige Anhänger des (mosaischen) Gesetzes.
Apostelgeschichte 21:21	Nun ist ihnen aber über dich berichtet worden, daß du allen Juden, die unter den Heiden leben, den Abfall von Mose predigest und ihnen empfehlest, sie möchten ihre Kinder nicht beschneiden lassen und überhaupt die herkömmlichen Gebräuche nicht mehr beobachten.
Apostelgeschichte 21:22	Was ist da nun zu tun? Jedenfalls werden sie von deinem Hiersein erfahren
Apostelgeschichte 21:23	Tu also, was wir dir raten! Wir haben hier (gerade) vier Männer unter uns, die ein Gelübde auf sich genommen (= zu erfüllen) haben;
Apostelgeschichte 21:24	nimm diese mit dir, laß dich mit ihnen reinigen und bezahle für sie (die zu entrichtenden Gebühren), damit sie sich das Haupt scheren lassen können (oder: dürfen); dann werden alle einsehen, daß an den Gerüchten, die ihnen über dich zu Ohren gekommen sind, nichts Wahres ist, daß vielmehr auch du in der Beobachtung des Gesetzes wandelst.
Apostelgeschichte 21:25	Was aber die gläubig gewordenen Heiden betrifft, so haben wir beschlossen und ihnen (schriftlich) mitgeteilt, daß sie sich vor Götzenopferfleisch, vor (dem Genuß von) Blut, vor dem Fleisch erstickter Tiere und vor Unzucht zu hüten haben.”
Apostelgeschichte 21:26	Daraufhin nahm Paulus die (betreffenden) Männer mit sich, ließ sich am folgenden Tage reinigen und ging mit ihnen in den Tempel, wo er den Abschluß der Reinigungstage anmeldete, (die so lange dauerten,) bis für einen jeden von ihnen das Löseopfer dargebracht sein würde.
Apostelgeschichte 21:27	¶ Als aber die sieben Tage (der Reinigungszeit) nahezu abgelaufen waren, erblickten ihn die Juden, die aus der Provinz Asien gekommen waren, im Tempel und brachten die ganze Volksmenge in Aufruhr; sie nahmen ihn fest
Apostelgeschichte 21:28	und riefen laut: „Ihr Männer von Israel, kommt uns zu Hilfe! Dies ist der Mensch, der überall vor allen Leuten seine Lehre gegen unser Volk und gegen das Gesetz und gegen diese Stätte vorträgt! Dazu hat er jetzt auch noch Griechen in den Tempel hineingebracht und dadurch diese heilige Stätte entweiht!”
Apostelgeschichte 21:29	Sie hatten nämlich vorher den Trophimus aus Ephesus in der Stadt mit ihm zusammen gesehen und meinten nun, Paulus habe ihn in den Tempel mitgenommen.
Apostelgeschichte 21:30	So geriet denn die ganze Stadt in Bewegung, und es entstand ein Volksauflauf; man ergriff Paulus und schleppte ihn aus dem Tempel hinaus, worauf dessen Tore sogleich geschlossen wurden.
Apostelgeschichte 21:31	¶ Während man nun darauf ausging, ihn totzuschlagen, gelangte an den Obersten der römischen Abteilung die Meldung hinauf, ganz Jerusalem sei in Aufruhr.
Apostelgeschichte 21:32	Dieser nahm (daher) sofort Mannschaften und Hauptleute (= Offiziere) mit sich und eilte zu ihnen hinab. Als jene nun den Obersten und die Soldaten sahen, hörten sie auf, Paulus zu schlagen.
Apostelgeschichte 21:33	Da trat der Oberst heran, bemächtigte sich seiner, ließ ihn in zwei Ketten legen und fragte, wer er sei und was er getan habe.
Apostelgeschichte 21:34	Da schrieen alle in der Volksmenge durcheinander. Weil er nun wegen des Lärms nichts Sicheres ermitteln konnte, gab er Befehl, man solle Paulus in die Burg*) führen.
Apostelgeschichte 21:35	Als Paulus aber an die Treppe (zur Burg hinauf) gelangt war, mußte er wegen des gewaltsamen Andrangs der Menge von den Soldaten getragen werden;
Apostelgeschichte 21:36	denn die Volksmenge zog mit unter dem lauten Ruf: „Nieder mit ihm!”
Apostelgeschichte 21:37	Als nun Paulus eben in die Burg hineingeführt werden sollte, fragte er den Obersten: „Darf ich dir etwas sagen?” Jener erwiderte: „Du kannst Griechisch?
Apostelgeschichte 21:38	Da bist du also nicht der Ägypter, der vor einiger Zeit den Aufruhr erregt und die viertausend Mann Banditen (oder: Straßenräuber, Meuchelmörder) in die Wüste hinausgeführt hat?”
Apostelgeschichte 21:39	Paulus antwortete: „Nein, ich bin ein Jude aus Tarsus, Bürger einer namhaften Stadt in Cilicien. Erlaube mir, bitte, zum Volke zu reden!”
Apostelgeschichte 21:40	Als jener ihm die Erlaubnis gegeben hatte, gab Paulus, auf der Treppe stehend, dem Volk ein Zeichen mit der Hand; als dann völlige Stille eingetreten war, hielt er in der hebräischen Landessprache**) folgende Ansprache an sie:
