Genesis 1:1	Im Anfang schuf Gott den Himmel und die Erde;
Ijob 36:10	da öffnet er ihnen das Ohr für Warnungen und mahnt sie, sich vom Frevel abzuwenden.
Ijob 36:11	Wenn sie nun darauf hören und sich unterwerfen, so beenden sie ihre Tage im Glück und ihre Jahre in Wonne (oder: im Wohlergehen);
Ijob 36:12	wollen sie aber nicht darauf hören, so fallen sie dem Todesgeschoß (= einem plötzlichen Tode) anheim und verscheiden in Unverstand (= ohne Erkenntnis).
Ijob 36:13	Dann geraten aber solche ruchlos Gesinnte in Zorn: sie schreien nicht um Hilfe, obgleich er (d. h. Gott) sie in Fesseln geschlagen hat.
Ijob 36:14	So stirbt denn ihre Seele schon in der Jugendkraft dahin, und ihr Leben endet wie das der Lustknaben.
Ijob 36:15	Die Dulder dagegen errettet er (gerade) durch ihr Dulden und öffnet ihnen durch die Leiden das Ohr.”
Ijob 36:16	¶ „So sucht er auch dich aus dem Rachen der Not auf weiten Raum zu führen, wo keine Enge mehr ist, und dein Tisch würde mit fettem Mahl reich besetzt sein;
Ijob 36:17	du aber hast dich ganz dem frevelhaften Urteilen hingegeben, darum werden Urteil und Gericht dich treffen.
Ijob 36:18	Laß die Leidenschaft dich ja nicht zu Lästerungen verleiten und die Größe des Lösegeldes (oder: der auferlegten Sühne) dich nicht beirren!
Ijob 36:19	Wird etwa dein Geschrei dich aus der Bedrängnis herausbringen und alle noch so gewaltigen Anstrengungen?
Ijob 36:20	Sehne die Nacht nicht herbei, wo Völker an ihrer Stätte auffahren*)!
Ijob 36:21	Hüte dich, wende dich nicht dem Frevel zu! denn dazu bist du eher geneigt als zum Leiden.
Ijob 36:22	Bedenke wohl: Gott vollbringt erhabene Dinge durch seine Kraft: wer ist ein Lehrmeister wie er?
Ijob 36:23	Wer hat ihm sein Walten vorgeschrieben? und wer hat je zu ihm sagen dürfen: ‘Du hast unrecht gehandelt (oder: Frevel verübt)’?
Ijob 36:24	Sei darauf bedacht, sein Tun (oder: Walten) zu erheben, das die Menschen in Liedern preisen!
Ijob 36:25	Alle Menschen schauen es bewundernd an, und doch erblickt es der Sterbliche nur von ferne.”
Ijob 36:26	¶ „Bedenke wohl: Gott ist zu erhaben für unsere Erkenntnis; die Zahl seiner Jahre, sie ist unerforschlich.
Ijob 36:27	Denn er zieht Tropfen aus dem Meer empor, daß sie von dem Dunst, den er bildet, als Regen niederträufeln,
Ijob 36:28	von dem die Wolken triefen und den sie auf die Menschenmenge rieseln lassen.
Ijob 36:29	Wie kann man vollends die Ausbreitungen der Gewitterwolken verstehen, den Donnerschall seines Zeltes?
Ijob 36:30	Siehe, er breitet sein Licht darüber (oder: um sich her) aus und bedeckt damit die tiefsten Tiefen des Meeres!
Ijob 36:31	denn dadurch richtet er die Völker**), spendet zugleich aber auch Nahrung in reicher Fülle.
Ijob 36:32	Beide Hände hüllt er in den leuchtenden Blitz und entbietet ihn gegen den Angreifer.
Ijob 36:33	Sein Donnergetöse kündigt ihn an als einen, der seinen Zorn gegen den Frevel eifern (= in Eifer geraten) läßt.”
Ijob 37:1	Ja, darüber erzittert mein Herz und fährt stürmisch empor von seiner Stelle.
Ijob 37:2	Hört, o hört auf das Donnern seiner Stimme und auf das Tosen, das seinem Munde entfährt!
Ijob 37:3	Er entfesselt es unter dem ganzen Himmel hin und sein Blitzesleuchten bis an die Säume der Erde.
Ijob 37:4	Hinter (dem Blitz) her brüllt der Donner; er dröhnt mit seiner hehren Stimme und hält (die Blitze) nicht zurück, sobald sein Donner sich vernehmen läßt.
Ijob 37:5	Gott donnert mit seiner Stimme wunderbar, er, der große Dinge tut, die wir nicht begreifen.
Ijob 37:6	Denn dem Schnee gebietet er: ‘Falle auf die Erde nieder!’ und ebenso dem Regenguß: ‘Falle als Dauerregen nieder!’
Ijob 37:7	Dann zwingt er die Hände aller Menschen zur Untätigkeit, damit alle Menschen zur Erkenntnis seines Wirkens (oder: Waltens) kommen.
Ijob 37:8	Da zieht sich das Wild in sein Versteck zurück und hält sich ruhig in seinen Schlupfwinkeln.
Ijob 37:9	Aus der Kammer (des Südens, vgl. 9,9) bricht der Sturm hervor, und von den Nordwinden die Kälte:
Ijob 37:10	durch den Hauch Gottes entsteht das Eis, und die weite Wasserfläche liegt in enger Haft.
Ijob 37:11	Auch belastet er mit Wasserfülle (oder: Hagel) das Gewölk, läßt seine Blitzwolken überströmen;
Ijob 37:12	die wenden sich dann unter seiner Leitung hierhin und dorthin, um alles, was er ihnen gebietet, auszurichten auf dem ganzen weiten Erdkreise:
Ijob 37:13	bald als Rute (= Züchtigung), wenn sie seinem Lande nottut, bald als Huldbeweis (= zum Segen) läßt er sie sich entladen.”
Ijob 37:14	¶ „Vernimm dies, Hiob! stehe still und erwäge die Wunderwerke Gottes!
Ijob 37:15	Begreifst du es, wie Gott ihnen Befehl erteilt und das Licht (= den Blitzstrahl) seines Gewölks aufleuchten läßt?
Ijob 37:16	Verstehst du dich auf das Schweben der Wolken, auf die Wundertaten des an Weisheit Vollkommenen,
Ijob 37:17	du, dem die Kleider zu heiß werden, wenn das Land beim Südwind in schwüler Hitze daliegt?
Ijob 37:18	Kannst du gleich ihm das Himmelsgewölbe ausbreiten, das fest ist wie ein gegossener Spiegel?
Ijob 37:19	Laß uns wissen, was wir ihm sagen sollen! Wir können vor Finsternis nichts vorbringen.
Ijob 37:20	Soll ihm gemeldet werden, daß ich reden wolle? Hat wohl je ein Mensch gefordert, er wolle vernichtet sein?
Ijob 37:21	Und nun: — in das Sonnenlicht kann man nicht blicken, wenn es am Himmelsgewölbe strahlt, nachdem der Wind darüber hingefahren ist und (den Himmel) geklärt hat.
Ijob 37:22	Von Norden her kommt das Nordlicht*): — um Gott her liegt furchtbare Pracht (= Majestät).
Ijob 37:23	Den Allmächtigen, — wir erreichen ihn nicht, ihn, der an Kraft gewaltig ist; aber das Recht und die volle Gerechtigkeit beugt er nicht.
Ijob 37:24	Darum sollen die Menschen ihn fürchten: er sieht keinen an, der sich selbst weise dünkt!”
Ijob 38:1	Da antwortete der HErr dem Hiob aus dem Wettersturme heraus folgendermaßen:
Ijob 38:2	„Wer ist’s, der da den Heilsplan Gottes verdunkelt mit Worten ohne Einsicht?
Ijob 38:3	Auf! gürte dir die Lenden wie ein Mann, so will ich dich fragen, und du belehre mich (oder: gib mir Bescheid)!”
Ijob 38:4	¶ „Wo warst du, als ich die Erde baute? Sprich es aus, wenn du Einsicht besitzest (oder: Bescheid weißt)!
Ijob 38:5	Wer hat ihre Maße bestimmt (oder: ihren Bauplan entworfen)? — du weißt es ja! — oder wer hat die Meßschnur über sie ausgespannt?
Ijob 38:6	Worauf sind ihre Grundpfeiler eingesenkt worden, oder wer hat ihren Eckstein (= Grundstein) gelegt,
Ijob 38:7	während die Morgensterne allesamt laut frohlockten und alle Gottessöhne (d. h. Engel) jauchzten?”
Ijob 38:8	¶ „Und wer hat das Meer mit Toren verschlossen, als es hervorbrach, aus dem Mutterschoß heraustrat?
Ijob 38:9	als ich Gewölk zu seinem Kleide machte und dunkle Nebel zu seinen Windeln?
Ijob 38:10	als ich ihm das von mir bestimmte Gebiet absteckte und ihm Riegel und Tore herstellte
Ijob 38:11	und sprach: ‘Bis hierher darfst du kommen, aber nicht weiter, und hier soll sich der Stolz deiner Wellen brechen!’”
Ijob 38:12	¶ „Hast du jemals, seitdem du lebst, das Morgenlicht bestellt? hast du dem Frührot seine Stätte angewiesen,
Ijob 38:13	daß es die Säume der Erde erfasse und die Frevler von ihr verscheucht werden?
Ijob 38:14	Sie (die Erde) verwandelt sich alsdann wie Wachs unter dem Siegel, und alles stellt sich dar wie ein Prachtgewand;
Ijob 38:15	den Frevlern aber wird ihr Licht entzogen, und der zum Schlagen schon erhobene Arm zerbricht”.
Ijob 38:16	¶ „Bist du bis zu den Quellen des Meeres gekommen, und hast du die tiefsten Tiefen des Weltmeers durchwandelt?
Ijob 38:17	Haben sich vor dir die Pforten des Todes aufgetan, und hast du die Pforten des Schattenreichs gesehen?
Ijob 38:18	Hast du die weiten Flächen der Erde überschaut? Sage an, wenn du dies alles weißt!”
Ijob 38:19	¶ „Wo geht denn der Weg nach der Wohnung des Lichts, und die Finsternis, — wo hat sie ihre Heimstätte,
Ijob 38:20	daß du sie in ihr Gebiet hinbringen könntest und daß die Pfade zu ihrem Hause dir bekannt wären?
Ijob 38:21	Du weißt es ja, denn damals wurdest du ja geboren, und die Zahl deiner Lebenstage ist groß!”
Ijob 38:22	¶ „Bist du zu den Vorratskammern des Schnees gekommen, und hast du die Speicher des Hagels gesehen,
Ijob 38:23	den ich aufgespart habe für die Drangsalszeiten, für den Tag des Kampfes und des Krieges?”
Ijob 38:24	¶ „Wo ist der Weg dahin, wo das Licht sich teilt und von wo der Ostwind sich über die Erde verbreitet?
Ijob 38:25	Wer hat der Regenflut Kanäle gespalten und einen Weg dem Donnerstrahl gebahnt,
Ijob 38:26	um regnen zu lassen auf menschenleeres Land, auf die Steppe, wo niemand wohnt,
Ijob 38:27	um die Einöde und Wildnis reichlich zu tränken und Pflanzengrün sprießen zu lassen?
Ijob 38:28	Hat der Regen einen Vater, oder wer erzeugt die Tropfen des Taues?
Ijob 38:29	Aus wessen Mutterschoße geht das Eis hervor, und wer läßt den Reif des Himmels entstehen?
Ijob 38:30	Wie zu Stein verhärten sich die Wasser, und der Spiegel der Fluten schließt sich zur festen Decke zusammen „
Ijob 38:31	¶ „Vermagst du die Bande des Siebengestirns zu knüpfen oder die Fesseln (oder: den Gürtel) des Orion zu lösen?
Ijob 38:32	Läßt du die Bilder des Tierkreises zur rechten Zeit hervortreten, und leitest du den Großen Bären samt seinen Jungen?
Ijob 38:33	Kennst du die für den Himmel gültigen Gesetze, oder bestimmst du seine Herrschaft über die Erde?
Ijob 38:34	Kannst du deine Stimme hoch zu den Wolken dringen lassen, daß strömender Regen dich bedecke?
Ijob 38:35	Entsendest du die Blitze, daß sie hinfahren und zu dir sagen: ‘Hier sind wir’?
Ijob 38:36	Wer hat Weisheit in die Wolkenschichten gelegt oder wer dem Luftgebilde Verstand verliehen?
Ijob 38:37	Wer zählt die Federwolken mit Weisheit ab, und die Schläuche des Himmels — wer läßt sie sich ergießen,
Ijob 38:38	wenn das Erdreich sich zu Metallguß verhärtet hat und die Schollen sich fest zusammenballen?”
Ijob 38:39	¶ „Erjagst du für die Löwin die Beute, und stillst du die Gier der jungen Leuen,
Ijob 38:40	wenn sie in ihren Höhlen kauern, im Dickicht auf der Lauer liegen?
Ijob 38:41	Wer verschafft dem Raben sein Futter, wenn seine Jungen zu Gott schreien und wegen Mangels an Nahrung umherirren?”
Ijob 39:1	Kennst du die Zeit, wo die Felsgemsen (oder: Steinböcke) werfen, und überwachst du das Kreißen der Hirschkühe?
Ijob 39:2	Zählst du die Monde, während derer sie trächtig sind, und weißt du die Zeit, wann sie gebären?
Ijob 39:3	Sie kauern nieder, lassen ihre Jungen zur Welt kommen, entledigen sich leicht ihrer Geburtsschmerzen,
Ijob 39:4	Ihre Jungen erstarken, werden im Freien groß; sie laufen davon und kehren nicht wieder zu ihnen zurück.”
Ijob 39:5	¶ „Wer hat den Wildesel frei laufen lassen, und wer die Bande dieses Wildfangs gelöst,
Ijob 39:6	dem ich die Steppe zur Heimat angewiesen habe und zur Wohnung die Salzgegend?
Ijob 39:7	Er lacht des Gewühls der Stadt, den lauten Zuruf des Treibers hört er nicht.
Ijob 39:8	Was er auf den Bergen erspäht, ist seine Weide, und jedem grünen Halme spürt er nach.”
Ijob 39:9	¶ „Wird der Büffel Lust haben, dir zu dienen oder nachts an deiner Krippe zu lagern?
Ijob 39:10	Kannst du den Büffel mit seinem Leitseil an die Furche binden, oder wird er über Talgründe die Egge hinter dir her ziehen?
Ijob 39:11	Darfst du ihm trauen, weil er große Kraft besitzt, und ihm deinen Ernteertrag (oder: deine Feldarbeit) überlassen?
Ijob 39:12	Darfst du ihm zutrauen, daß er deine Saat einbringen und sie auf deiner Tenne zusammenfahren werde?”
Ijob 39:13	¶ „Die Straußenhenne schwingt fröhlich ihre Flügel: sind es aber des (liebevollen) Storches Schwingen und Gefieder?
Ijob 39:14	Nein, sie vertraut ihre Eier der Erde an und läßt sie auf dem Sande warm werden;
Ijob 39:15	denn sie denkt nicht daran, daß ein Fuß sie (oder: eins) dort zerdrücken und ein wildes Tier sie (oder: eins) zertreten kann.
Ijob 39:16	Hart behandelt sie ihre Jungen, als gehörten sie ihr nicht; ob ihre Mühe*) vergeblich ist, das kümmert sie nicht;
Ijob 39:17	denn Gott hat ihr große Klugheit versagt und ihr keinen Verstand zugeteilt.
Ijob 39:18	Doch sobald sie hoch auffährt zum Laufen, verlacht sie das Roß und seinen Reiter.”
Ijob 39:19	¶ „Gibst du dem Roß die gewaltige Stärke? bekleidest du seinen Hals mit der wallenden Mähne?
Ijob 39:20	Machst du es springen wie die Heuschrecke? sein stolzes Schnauben — wie erschreckend!
Ijob 39:21	Es scharrt den Boden im Blachfeld und freut sich seiner Kraft, zieht der gewappneten Schar entgegen.
Ijob 39:22	Es lacht über Furcht und erschrickt nicht, macht nicht Kehrt vor dem Schwert;
Ijob 39:23	auf ihm klirrt ja der Köcher, blitzen der Speer und der Kurzspieß.
Ijob 39:24	Mit Ungestüm und laut stampfend sprengt es im Fluge dahin**) und läßt sich nicht halten, wenn die Posaune erschallt;
Ijob 39:25	bei jedem Trompetenstoß ruft es ‘Hui!’ und wittert den Kampf von fern, den Donnerruf (= Kommandoruf) der Heerführer und das Schlachtgetöse.”
Ijob 39:26	¶ „Hebt der Habicht dank deiner Einsicht die Schwingen, breitet seine Flügel aus nach dem Süden zu?
Ijob 39:27	Oder schwebt der Adler auf dein Geheiß empor und baut sein Nest in der Höhe?
Ijob 39:28	Auf Felsen wohnt er und horstet auf Felszacken und Bergspitzen;
Ijob 39:29	von dort späht er nach Beute aus: in weite Ferne blicken seine Augen;
Ijob 39:30	und seine Jungen schon verschlingen gierig das Blut, und wo Erschlagene liegen, da ist auch er.”
Ijob 40:1	Hierauf wandte sich der HErr weiter an Hiob mit der Frage:
Ijob 40:2	„Hadern will der Tadler mit dem Allmächtigen? Der Ankläger Gottes gebe Antwort darauf!”
Ijob 40:3	¶ Da antwortete Hiob dem HErrn:
Ijob 40:4	„Ach, ich bin zu gering: was soll ich dir entgegnen? Ich lege meine Hand auf den Mund!
Ijob 40:5	Einmal habe ich geredet, werde aber nichts mehr entgegnen; und noch ein zweites Mal habe ich es getan, doch niemals tue ich es wieder.”
Ijob 40:6	¶ Weiter antwortete der HErr dem Hiob aus dem Wettersturm heraus folgendermaßen:
Ijob 40:7	¶ „Auf! gürte dir die Lenden wie ein Mann: ich will dich fragen, und du belehre mich!
Ijob 40:8	Willst du wirklich mein Recht zunichte machen*), mich schuldig sprechen, damit du als gerecht dastehst (= recht behältst)?”
Ijob 40:9	¶ „Hast du etwa einen Arm wie Gott, und vermagst du den Donner so laut rollen zu lassen wie er?
Ijob 40:10	So schmücke dich doch mit Erhabenheit und Hoheit und kleide dich in Pracht und Herrlichkeit!
Ijob 40:11	Laß die Ausbrüche deines Zorns sich ergießen! und gewahrst du irgend einen Hochmütigen, so wirf ihn nieder!
Ijob 40:12	Ja, gewahrst du irgend einen Hochmütigen, so demütige ihn und stürze die Frevler nieder, wo sie stehen!
Ijob 40:13	Laß sie allesamt tief in den Staub sinken, laß ihr Angesicht erstarren in Todesgrauen!
Ijob 40:14	Dann will auch ich dich lobend anerkennen, daß deine Rechte dir den Sieg verliehen hat.”
Ijob 40:15	¶ „Sieh doch das Nilpferd an, das ich geschaffen habe wie dich: von Pflanzen nährt es sich wie das Rind!
Ijob 40:16	Sieh doch, welche Kraft bei ihm in den Lenden wohnt und welche Stärke in den Muskeln seines Leibes!
Ijob 40:17	Es macht seinen Schwanz so starr wie eine Zeder; die Sehnen seiner Schenkel sind fest verflochten.
Ijob 40:18	Seine Knochen sind Röhren von Erz, seine Gebeine (oder: Schulterblätter) gleich geschmiedeten Eisenstangen.
Ijob 40:19	Es ist der Erstling (= das Meisterstück) der schöpferischen Tätigkeit Gottes; sein Bildner hat ihm auch sein Schwert**) verliehen.
Ijob 40:20	Denn Futter liefern ihm die Anhöhen, wo alle wilden Landtiere spielen (= sich lustig tummeln).
Ijob 40:21	Unter Lotusbüschen lagert es sich, im Versteck von Schilfrohr und Sumpf;
Ijob 40:22	Lotusbüsche geben ihm Deckung mit ihrem Schattendach, und die Weiden des Baches umgeben es.
Ijob 40:23	Selbst wenn der Strom mächtig anschwillt, gerät es nicht in Unruhe: es bleibt wohlgemut, wenn auch ein Jordan (oder: Sturzbach) gegen seinen Rachen andringt.
Ijob 40:24	Wer will es von vorn packen? wer mit einem Fangseil ihm die Nase durchbohren?”
Ijob 40:25	¶ „Kannst du das Krokodil (eig. der Lewiathan) am Angelhaken heranziehen und ihm die Zunge mit der Schnur (oder: dem Fangseil) niederdrücken?
Ijob 40:26	Kannst du ihm einen Binsenring durch die Nase ziehen und einen Dorn (= Haken) durch seinen Kinnbacken bohren?
Ijob 40:27	Meinst du, es werde viele Bitten an dich richten oder dir gute Worte geben?
Ijob 40:28	Wird es einen Vertrag mit dir schließen, wonach du es für immer in deine Dienste nähmest?
Ijob 40:29	Wirst du mit ihm spielen wie mit einem Vöglein und es zur Kurzweil (= als Spielzeug) für deine Mägdlein anbinden?
Ijob 40:30	Treibt die Fischerzunft Handel mit ihm, daß sie es stückweise an die Händler abgibt?
Ijob 40:31	Kannst du ihm die Haut mit Spießen spicken und seinen Kopf mit Fischerhaken (= Harpunen) durchbohren?
Ijob 40:32	Vergreife dich nur einmal an ihm: mache dich auf Kampf gefaßt! du wirst’s gewiß nicht wieder tun!”
Ijob 41:1	„Ja, eine solche Hoffnung erweist sich als Trug: schon bei seinem Anblick bricht man zusammen.
Ijob 41:2	Niemand ist so tollkühn, daß er es aufstört; und wer ist es, der ihm entgegengetreten und heil davongekommen wäre?
Ijob 41:3	Wer unter dem ganzen Himmel ist es?” *)
Ijob 41:4	Nicht schweigen will ich von seinen Gliedmaßen, weder von seiner Kraftfülle noch von der Schönheit seines Baues.
Ijob 41:5	Wer hat je sein Panzerkleid oben aufgedeckt und wer sich in die Doppelreihe seines Gebisses hineingewagt?
Ijob 41:6	Wer hat je das Doppeltor seines Rachens geöffnet? rings um seine Zähne herum lagert Schrecken.
Ijob 41:7	Prachtvoll sind die Zeilen seiner Schilder, (oder: die Rinnen seiner Schuppenplatten), jede einzelne enganliegend wie durch ein festes Siegel:
